From,About,Sentiment
Kyle,Mike,Foe
Kyle,Rick,Leaning positive
Kyle,Jonathan,Foe
Kyle,Dee,Leaning positive
Kyle,Emily,50/50
Kyle,Charlie,Foe
Kyle,Q,Foe
Kyle,Tiffany,Friend
Kyle,Genevieve,Friend
Kyle,Joe,Friend
Kyle,Kamilla,50/50
Kyle,Rizo,Foe
Kyle,Savannah,Foe
Rizo,Jenna,Friend
Rizo,Colby,Friend
Rizo,Stephenie,Friend
Rizo,Cirie,Foe
Rizo,Ozzy,Foe
Rizo,Coach,Leaning positive
Rizo,Aubry,Friend
Rizo,Chrissy,Friend
Rizo,Angelina,Foe
Rizo,Christian,Foe
Rizo,Mike,Foe
Rizo,Rick,Foe
Rizo,Jonathan,Foe
Rizo,Dee,Friend
Rizo,Emily,Leaning negative
Rizo,Charlie,Friend
Rizo,Q,Foe
Rizo,Tiffany,Leaning negative
Rizo,Genevieve,Friend
Rizo,Joe,Friend
Rizo,Kamilla,Foe
Rizo,Kyle,50/50
Rizo,Savannah,Friend
Savannah,Jenna,Leaning positive
Savannah,Colby,Leaning positive
Savannah,Stephenie,Leaning negative
Savannah,Cirie,Foe
Savannah,Ozzy,Friend
Savannah,Coach,Friend
Savannah,Aubry,Foe
Savannah,Chrissy,Friend
Savannah,Angelina,Foe
Savannah,Christian,Friend
Savannah,Mike,Friend
Savannah,Rick,Friend
Savannah,Jonathan,50/50
Savannah,Dee,Foe
Savannah,Emily,Foe
Savannah,Charlie,Foe
Savannah,Q,Foe
Savannah,Tiffany,Foe
Savannah,Genevieve,Foe
Savannah,Joe,Friend
Savannah,Kamilla,Friend
Savannah,Kyle,Friend
Savannah,Rizo,50/50
